Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Description,Icon,Color,Collection
Communications,communications,6356a610a8e5b27470796eb3,6356a64d05fec16bee26c5d0,Mon Oct 24 2022 14:50:53 GMT+0000 (Coordinated Universal Time),Mon Oct 24 2022 15:17:39 GMT+0000 (Coordinated Universal Time),Tue Oct 25 2022 07:22:04 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/633d40f74c5a1931ffa47e94/6356ac8d95f7685f1e49ec41_communication-2561670-2140276.webp,"hsla(252.97297297297294, 100.00%, 95.09%, 1.00)",dialpad-for-startups
Legal,legal,6356a610a8e5b27470796eb3,6356a67ae9cbbc03e970a22e,Mon Oct 24 2022 14:51:38 GMT+0000 (Coordinated Universal Time),Mon Oct 24 2022 15:15:58 GMT+0000 (Coordinated Universal Time),Tue Oct 25 2022 07:22:04 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/633d40f74c5a1931ffa47e94/6356ac1690b8410fdcfc83b4_law-balance-scale-justice-judicial-system-legal-12-28938.png,#7ed8ff,iubenda; copyrights-world
Startup,startup,6356a610a8e5b27470796eb3,6356a6a186bf0953d3bbb8c3,Mon Oct 24 2022 14:52:17 GMT+0000 (Coordinated Universal Time),Mon Oct 24 2022 15:16:15 GMT+0000 (Coordinated Universal Time),Tue Oct 25 2022 07:22:04 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/633d40f74c5a1931ffa47e94/6356a916cf35d8038f412593_762658.png,"hsla(135, 73.64%, 44.12%, 1.00)",carta; softr
